ID	SEVERITY	TITLE	ROOT_CAUSE	EVIDENCE	FIX	REGRESSION_TEST	STATUS
F4C-002	high	a crashed database was never restarted, and the process reported success	PostgresSupervisor scheduled its restart with setTimeout(...).unref(). An unref’d timer does not hold the event loop open, so when nothing else was pending Node drained the loop and exited with status 0 instead of restarting the cluster it had just watched die	the integration exercise ended at postgres.restart.scheduled and exited 0 with no further output, having printed no failure. In the server the HTTP listener keeps the loop alive, so the production path did restart - but the guarantee rested on an unrelated accident	the restart timer is no longer unref’d; the same applies to the socket and connection wait loops, where an early silent exit would have been equally invisible	tools/acceptance/postgres-integration.mjs DB-30 SIGKILLs the postmaster and requires a NEW pid before passing, so a supervisor that never restarts fails rather than passing instantly	CLOSED - fixed, tested
F4C-003	medium	no audit event could ever be appended to the PostgreSQL ledger	migration 0007 enabled and FORCED row level security on noesar_audit.events and gave it a policy FOR SELECT only. With FORCE and no INSERT policy every append is denied, so PostgresRepository.appendAuditEvent() could not have written a row	an INSERT through the application role was refused by RLS before the fix; grep of 0007 shows the single policy is FOR SELECT	migration 0015 adds an INSERT policy requiring workspace membership and actor identity; UPDATE and DELETE remain unreachable, which is what the immutability trigger is for	postgres-integration.mjs DB-41 appends an event as the application role, DB-42 asserts it cannot be deleted	CLOSED - fixed, tested
F4C-004	high	accounts were created that could never log in	AuthService.completeLogin() decrypts user.totp unconditionally. Until multi-user existed there was exactly one account and it always had a TOTP secret, so the assumption held. The new invitation flow created ordinary users without one, and every login attempt would have dereferenced null	found by end-to-end testing against a live server, not by any unit test: an invited user reached the MFA step of login with no envelope to decrypt. No unit test covered it because the fixtures always bootstrapped an owner	every INTERACTIVE account now enrols MFA before it exists - stronger than the requirement, which names only owner and admin. The alternative was a login branch that issues a session after the password step alone, and a code path that can skip a factor is a code path that can be reached by mistake. completeLogin also refuses a credential-less account explicitly (403, audited) instead of throwing	test/user-directory.test.mjs "every interactive account enrols MFA, not only the privileged roles" and "a service account is created without any MFA enrolment"; multi-user-isolation.mjs MU-08b performs a real password+TOTP login as an ordinary user	CLOSED - fixed, tested
F4C-005	medium	an invitation token stayed usable while MFA enrolment was in flight	the invitation was marked accepted only when enrolment completed, so between accept and confirm the token could start a second, parallel enrolment with a different password - last confirmation wins	reproduced directly: two acceptInvitation calls with the same token both succeeded before the fix	the invitation is consumed when it is CLAIMED. The claim lapses with the enrolment window so a fumbled authenticator setup is recoverable rather than permanently locking the invitation	test/user-directory.test.mjs "an invitation cannot be replayed, revoked-then-used, or used after expiry" and "an invitation claim lapses with the enrolment window so a fumbled setup is recoverable"	CLOSED - fixed, tested
F4C-006	high	the Phase 4 remediation left two copies of provider-gateway.mjs calling a function that does not exist	commit 04878c4 applied the F4-006/F4-007/F4-009 fixes to the shipped copy in full and to ai-workspace/provider-gateway.mjs and ai-workspace/runtime/provider-gateway.mjs partially: the call sites were renamed to fetchOnceRetryingStaleSocket, the helper definitions were never added. This is the same defect class F4-005 and F4-006 were, reintroduced by their own fix	git show 0a434eb proves all three copies were byte-identical (a07d385b...) at the end of Phase 3. ESLint reported six no-undef errors across the two copies on its very first run. Neither file is shipped - the Dockerfile copies only services/reference-control-plane/ - so no release was affected	three-way identity restored from the corrected shipped copy; all three now hash to 9e3bd86f...	tools/run-eslint.sh over the whole repository, with no-undef as an error and no file exempt; tools/verify-linter-detects.sh proves the detector fires on this exact shape	CLOSED - fixed, tested
F4C-007	medium	a blanket privilege grant silently undid the audit ledger revoke	a draft of the supervisor issued GRANT SELECT, INSERT, UPDATE, DELETE ON ALL TABLES IN SCHEMA ... TO noesar_app after every migration run, which re-granted the DELETE on noesar_audit.events that migration 0009 deliberately revokes	caught while wiring the first successful migration run; the grant ran after 0009 and therefore always won	the blanket grant was removed entirely and privileges moved into migration 0016, where they are reviewable as a diff. Privileges expressed in a loop cannot be	postgres-integration.mjs DB-42 (append-only enforced) and DB-08b (the application role cannot write the migration ledger)	CLOSED - fixed, tested
F4C-008	informational	the Phase 4 inventory said the image has zero third-party npm dependencies; syft finds 199	both are right about different things. The PRODUCT declares no dependency; the IMAGE ships npm and yarn from the base image, and npm carries 197 bundled packages under /usr/local/lib/node_modules	syft 1.49.0 image scan, grouped by location: 197 under /usr/local/lib/node_modules, 1 /opt/noesar/package.json, 1 /opt/yarn-v1.22.22/package.json	no code change. SBOM_REPORT.md states both numbers and what each measures, because a vulnerability matcher run against this image will report on the bundled tree and be correct to	the SBOM itself is the evidence; tools/generate-sbom.sh regenerates it from a pinned tool and image	CLOSED - documentation corrected
F4C-009	high	the log redactor corrupted 6.75% of all UUIDs, including correlation and incident identifiers	the phone rule /(?<!\w)(?:\+?\d[\d .()-]{7,}\d)(?!\w)/ matches inside a canonical UUID - "...-2822-4650-..." is nine characters of digits and hyphens - and rewrote the middle of it as [REDACTED_PHONE]. Every string value in every log record passes through redactText	measured: 13497 of 200000 randomUUID() values altered, 6.75%. This is the root cause of the flake Phase 4 observed once and could not reproduce; the stress harness reproduced it twice in 270 runs, once breaking "a trace record carries its incident id and scope" and once also breaking "every response carries a correlation id the operator can search on". Phase 4 had attributed it to timing races in two unrelated files	canonical UUIDs are lifted out before any rule runs and restored afterwards. A UUID is an identifier, never a phone number or a payment card, and partially rewriting one destroys the correlation the identifier exists to provide	test/redaction-identifier-integrity.test.mjs, 9 tests including 20000 random UUIDs and 300 correlation ids written through the real Logger; 7 of the 9 fail against the pre-fix module	CLOSED - fixed, tested
F4C-010	low	an IPv4 address was redacted under the label [REDACTED_PHONE]	rule order: the phone rule also matches "192.168.1.7" and ran before the ipv4 rule, so the address was protected but mislabelled - contradicting the Phase 3 logging note, which states IPv4 literals become [REDACTED_IP]	redactText("192.168.1.7") returned "[REDACTED_PHONE]" before the fix	the ipv4 rule now runs before the phone rule. The data was protected either way; the label was a lie, and a label nobody can trust is a label nobody reads	test/redaction-identifier-integrity.test.mjs "an IPv4 address is labelled as an address, not as a phone number", which also asserts a dotted phone number is still a phone number	CLOSED - fixed, tested
F4C-011	medium	the UUID placeholder introduced by the F4C-009 fix could be forged from attacker-controlled text	the placeholder is NUL-delimited, and a JSON string may carry a literal U+0000. Text containing one could forge a placeholder and be substituted with a UUID lifted from elsewhere in the same value, or with the string "undefined" when the index was out of range	found by probing the fix rather than by a test that expected it: a crafted input returned "undefined", and another returned a real identifier belonging to a different part of the same string	U+0000 is stripped from the input before tokenisation, so after that point no NUL exists in the text except the ones this function inserted. A control character has no business in a log line in any case	test/redaction-identifier-integrity.test.mjs "a placeholder cannot be forged from user-supplied text", covering the plain, forged and out-of-range cases	CLOSED - fixed, tested
F4C-012	low	a TOTP regression test depended on the wall clock not crossing a step boundary	the test generates a code, runs a login, then asserts the previous step’s code is still arithmetically valid. verifyTotp re-samples Date.now(), so if the clock crossed a 30-second boundary mid-test the code became two steps old, outside the +/-1 window, and the assertion failed for a reason the test was never about	reproduced by tools/flake-stress.mjs: 1 failure in 50 isolated runs of totp-replay.test.mjs, with the signature "the older code is still arithmetically valid, which is the point". This is the second of the two candidates Phase 4 named	the test anchors itself inside a step with at least 10 seconds of headroom before starting, and verifies against that anchor instead of re-sampling the clock. Fails closed either way - a spurious failure, never a spurious pass	the test itself, plus tools/flake-stress.mjs which is now a committed tool rather than a one-off	CLOSED - fixed, tested
F4C-013	informational	the postgres.ready log line reports migrations=0 on a restart of a fully migrated cluster	the field counts migrations applied BY THAT START, which is correctly zero when all 16 are already applied. The data-plane.ready line emitted immediately afterwards reports the true total of 16	observed across a real docker restart of the installed container: postgres.ready migrations=0 followed by data-plane.ready migrations=16	NOT FIXED. Renaming the field means rebuilding and reinstalling the image for a log label, and the adjacent line already carries the unambiguous number. Recorded so a future reader is not misled into thinking the schema is missing	none; the behaviour is documented in POSTGRESQL_18_PGVECTOR_IMPLEMENTATION.md under stated limits	OPEN - recorded, no action
F4C-014	medium	the Phase 4 handoff gives a setup-token fingerprint that does not match the installation	the handoff and BACKUP_RESTORE_TEST_REPORT.md both record af6f7ca93c31 as the first-owner setup token fingerprint of the real installation. The value most likely came from the throwaway probe container Phase 4 used for the bootstrap rehearsal, which had its own workspace and therefore its own token	the Phase 4 container itself logged setup_fingerprint=db1cf03ef221 at 12:20:43 on its own startup, before any work in this gate; the phase4-complete container logs the same value at 14:23 and 14:25; and the product own fingerprint() over the file on disk returns db1cf03ef221. So the recorded value did not match even when it was written	the handoff now records db1cf03ef221 AND tells the Owner to verify against the setup-token.available line in the live container log rather than against any transcribed value, because the token rotates on expiry and a fingerprint in a document goes stale by design	none automated. The correct value is emitted by the runtime on every start, which is the source the handoff now points at	CLOSED - documentation corrected
F4L-001	medium	unauthenticated /metrics is gated on the peer being a private address, a premise LAN publishing invalidates	the gate was if(!isInternalAddress(clientIp(req))), justified by a code comment stating the container publishes on loopback only. Behind a published Docker port every external caller arrives from the bridge gateway (172.22.0.1), itself RFC1918, so the predicate returns internal for a LAN browser exactly as readily as for a host-local process. Harmless while the publish is loopback because nothing else can reach the port; false the moment it is not	executed rather than read: over the LAN address GET /metrics returned 200 with 28 series before the fix and 401 after. The disclosure is request paths, status codes per route, safe-mode state, log byte count and a latency histogram - no credentials and no user content	exposure scope made an explicit declared input (NOESAR_BIND_ADDRESS / NOESAR_BIND_SCOPE) instead of an assumption in a comment; unauthenticated /metrics now requires scope=loopback AND a private peer. The address predicate was kept, moved to http-security.mjs and unit-tested, because it is a correct statement about an address - what was wrong was the conclusion drawn from it without knowing the exposure	services/reference-control-plane/test/lan-exposure.test.mjs - 11 checks including a positive assertion that loopback installations still get 200, so the fix cannot be mistaken for a blanket lockdown. Verified to FAIL against the pre-fix predicate before being trusted	CLOSED - fixed, tested, deployed
F4L-002	low	PROJECT_STATE.json recorded an image ID the installation was not running	the state file was written before the image was rebuilt. It named sha256:ec2ac8bd; the tag noesar-evolution:phase4-complete was moved to sha256:52987fbb at 14:22 UTC and the container created from that at 14:23	docker inspect of the running container reports Image=sha256:52987fbb; docker image inspect sha256:ec2ac8bd succeeds but returns RepoTags=[] - the digest still exists, untagged. Every enumerated precondition of this gate (tag, container, bind, port, health, clean tree) nonetheless matched	PROJECT_STATE.json corrected, and the superseded value recorded in PHASE_4_COMPLETION_REPORT.md rather than silently overwritten	none automated. A digest recorded by hand goes stale by construction; the durable fix is to read it from docker inspect, which the reproduction commands now do	CLOSED - corrected
F4L-003	medium	the installers readiness loop always probed 127.0.0.1 regardless of where the port was published	both Unraid installers polled http://127.0.0.1:${PORT}/healthz to decide whether the container had started. With NOESAR_BIND_ADDRESS set to a LAN address, loopback does not answer at all	the loop runs 30 attempts and then prints INSTALLATION_STARTUP=FAIL. A LAN install would have reported failure for a container that was healthy, and the operator response - tear it down and retry - would have been provoked by the check rather than by the product	a probe address is derived from the bind address (loopback only when the publish is a wildcard) and used in the readiness loop; the final URL is printed with the published address	tools/test-installer-hardening.mjs asserts the probe targets the published address AND does not fall back to loopback - both directions, because only asserting the first would pass on a script that probed both	CLOSED - fixed, tested
F4L-004	medium	a LAN publish would have answered 421 to every browser request	NOESAR_ALLOWED_HOSTS is baked into the image as localhost,127.0.0.1,::1. A browser opening http://192.168.178.100:8100/ sends Host: 192.168.178.100:8100, which is not in that set	verified live before the change: curl -H Host: 192.168.178.100:8100 against the loopback publish returned 421 Unrecognized Host header. Correct behaviour, and fatal for the objective of this gate	the runtime adds NOESAR_BIND_ADDRESS to the allowlist itself, and the installers derive the allowlist entry from the same setting that drives the publish, so the two cannot drift apart. Only the declared address is added, never its subnet	lan-exposure.test.mjs asserts the declared address is accepted and 192.168.178.101, attacker.example are both still 421. Written first with fetch(), which silently drops a Host header - see the report; rewritten with node:http plus a negative control	CLOSED - fixed, tested
F4L-005	low	deployment/docker/run.sh hardcoded 127.0.0.1 in the publish	the script had no bind variable at all, so there was no supported way to reach it from another machine - the operator would have had to edit the script	read directly: --publish "127.0.0.1:${PORT}:8088" with no indirection, while the two Unraid installers already honoured NOESAR_BIND_ADDRESS	the same access-mode decision as the other two installers, through the shared deployment/lib/network-access.sh, with the same loopback default	tools/test-installer-hardening.mjs runs all three installers through every access-mode scenario	CLOSED - fixed, tested
F4L-006	low	the wrong setup-token fingerprint af6f7ca93c31 survived in two documents after F4C-014 was closed	F4C-014 corrected the handoff but left PHASE_4_COMPLETION_REPORT.md and BACKUP_RESTORE_TEST_REPORT.md, where the value was still presented as this installation fingerprint	grep across docs/ found four occurrences: two corrective (the handoff note and the finding register) and two asserting it as fact. The real value is db1cf03ef221, confirmed from the file on disk and the live container log in this gate	BACKUP_RESTORE_TEST_REPORT.md corrected with a note explaining what the value was and why the equality it demonstrates is unaffected. The completion report occurrence describes the defect and is left, because erasing it would erase the finding	none automated. Both documents now tell the reader to verify against the setup-token.available line in the live log, never against a transcribed value, because the token rotates on expiry	CLOSED - corrected
F4L-007	informational	--memory-swap is accepted by the daemon and silently discarded by this kernel	the host runs cgroup v2 without swap accounting; /proc/swaps is empty and there is no memory.swap.max at the cgroup root	docker run printed WARNING: Your kernel does not support swap limit capabilities or the cgroup is not mounted, and HostConfig.MemorySwap reads -1 in the resulting container despite --memory-swap 8g being passed	NOT FIXED - there is nothing to fix in this product. The flag is passed by all three installers because it is correct on a host that supports it; on this host it is inert and the intended outcome holds anyway since there is no swap to spill into	none. Recorded so a reader does not conclude from the flag list that swap is bounded here. CONTAINER_SECURITY_PROFILE.md states it too	OPEN - recorded, no action
